2021-07-10 20:59:43,055 Epoch 0
2021-07-10 21:00:52,698 Epoch 0
2021-07-10 21:01:34,227 Epoch 0
2021-07-10 21:02:43,521 Epoch 0
2021-07-10 21:13:49,941 Epoch 0
2021-07-10 21:14:10,328 Epoch 0
2021-07-10 21:15:57,372 Epoch 0
2021-07-10 21:33:14,124 89 Loss: 0.08998609334230423, Acc: 0.9774389716066482, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9371498432875182
2021-07-10 21:33:14,765 90 Loss: 0.15855415165424347, Acc: 0.9656011945983379, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5347546682180713
2021-07-10 21:33:15,416 91 Loss: 0.1531088650226593, Acc: 0.9550186114958449, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7694284649676955
2021-07-10 21:33:16,119 92 Loss: 0.1743280440568924, Acc: 0.9709465893351801, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.2751020259249107
2021-07-10 21:33:16,804 93 Loss: 0.18677975237369537, Acc: 0.9475848337950139, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8952364991309923
2021-07-10 21:33:17,455 94 Loss: 0.2814042568206787, Acc: 0.9212582236842105, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7677893488271562
2021-07-10 21:33:18,090 95 Loss: 0.16516217589378357, Acc: 0.963512811634349, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.675080286723511
2021-07-10 21:33:18,752 96 Loss: 0.19227367639541626, Acc: 0.9510149757617729, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8729230355407709
2021-07-10 21:33:19,416 97 Loss: 0.09389476478099823, Acc: 0.9758266966759003, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9262772569514107
2021-07-10 21:33:20,055 98 Loss: 0.17842093110084534, Acc: 0.9593252250692521, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.34345189593559705
2021-07-10 21:33:20,722 99 Loss: 0.19900037348270416, Acc: 0.9484613054016621, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9254718049304983
2021-07-10 21:33:21,366 100 Loss: 0.1261787861585617, Acc: 0.9736409279778393, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5857832346250271
2021-07-10 21:33:22,028 101 Loss: 0.13071133196353912, Acc: 0.975328947368421, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.40626406257055614
2021-07-10 21:33:22,688 102 Loss: 0.17551982402801514, Acc: 0.9581349549861495, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8966990800384588
2021-07-10 21:33:23,413 103 Loss: 0.039114587008953094, Acc: 0.9933128462603878, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8176027729661955
2021-07-10 21:33:24,170 104 Loss: 0.21036234498023987, Acc: 0.9450528047091413, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8378009198165175
2021-07-10 21:33:24,825 105 Loss: 0.19306057691574097, Acc: 0.9520862188365651, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5601469226484403
2021-07-10 21:33:25,473 106 Loss: 0.19075095653533936, Acc: 0.9497273199445984, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7039853470290384
2021-07-10 21:33:26,151 107 Loss: 0.12296997755765915, Acc: 0.9688041031855956, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7728369368758201
2021-07-10 21:33:26,828 108 Loss: 0.024904141202569008, Acc: 0.9954877943213296, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8693794320514849
2021-07-10 21:33:27,467 109 Loss: 0.24891294538974762, Acc: 0.9336803150969529, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8552620810111169
2021-07-10 21:33:28,126 110 Loss: 0.04117322340607643, Acc: 0.9944490131578947, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9472334898230165
2021-07-10 21:33:28,814 111 Loss: 0.113276407122612, Acc: 0.9733379501385041, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7476523193322152
2021-07-10 21:33:29,498 112 Loss: 0.08109810203313828, Acc: 0.9869394909972299, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6446691808628059
2021-07-10 21:33:29,830 0 Loss: 0.2174050658941269, Acc: 0.9421420533240997, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6343653114302037
2021-07-10 21:34:58,174 Epoch 0
2021-07-10 21:34:59,823 0 Loss: 0.755931556224823, Acc: 0.050186114958448755, Prec: 0.050186114958448755, Recall: 1.0, F1: 0.09557565891153379, AUC_ROC: 0.49296758170880955
2021-07-10 21:35:00,511 1 Loss: 0.7542595863342285, Acc: 0.03361971952908587, Prec: 0.03361971952908587, Recall: 1.0, F1: 0.06505239575808967, AUC_ROC: 0.4657000434653556
2021-07-10 21:35:01,193 2 Loss: 0.7518190145492554, Acc: 0.023361755540166205, Prec: 0.023361755540166205, Recall: 1.0, F1: 0.045656886069257205, AUC_ROC: 0.40793734835612716
2021-07-10 21:35:01,821 3 Loss: 0.745284914970398, Acc: 0.04793542243767313, Prec: 0.04793542243767313, Recall: 1.0, F1: 0.09148545112859592, AUC_ROC: 0.5387325972082877
2021-07-10 21:35:02,458 4 Loss: 0.7383409142494202, Acc: 0.07897983033240998, Prec: 0.07897983033240998, Recall: 1.0, F1: 0.1463972321115178, AUC_ROC: 0.5667056148528181
2021-07-10 21:35:03,130 5 Loss: 0.7374666333198547, Acc: 0.04929882271468144, Prec: 0.04929882271468144, Recall: 1.0, F1: 0.09396526832487728, AUC_ROC: 0.42560998251868093
2021-07-10 21:35:03,783 6 Loss: 0.731793224811554, Acc: 0.0644152527700831, Prec: 0.0644152527700831, Recall: 1.0, F1: 0.12103406561010073, AUC_ROC: 0.4450157575687351
2021-07-10 21:35:04,440 7 Loss: 0.7287500500679016, Acc: 0.031877596952908586, Prec: 0.031877596952908586, Recall: 1.0, F1: 0.06178561691239697, AUC_ROC: 0.4316881790336409
2021-07-10 21:35:05,072 8 Loss: 0.7209081053733826, Acc: 0.04795706371191136, Prec: 0.04795706371191136, Recall: 1.0, F1: 0.09152486370394845, AUC_ROC: 0.4850101342987041
2021-07-10 21:35:05,724 9 Loss: 0.7106676697731018, Acc: 0.0432825484764543, Prec: 0.0432825484764543, Recall: 1.0, F1: 0.08297378028542982, AUC_ROC: 0.4109520660853239
2021-07-10 21:35:06,396 10 Loss: 0.6962870359420776, Acc: 0.2775060595567867, Prec: 0.0038363748514345032, Recall: 0.31442663378545005, F1: 0.00758026159334126, AUC_ROC: 0.3006681167622393
2021-07-10 21:35:07,058 11 Loss: 0.6474918127059937, Acc: 0.9308453081717452, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.38981125007900447
2021-07-10 21:35:07,704 12 Loss: 0.5101875066757202, Acc: 0.921691049168975, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6097914183820402
2021-07-10 21:35:08,380 13 Loss: 0.21017983555793762, Acc: 0.9733812326869806, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4608659875074288
2021-07-10 21:35:09,052 14 Loss: 1.1880857944488525, Acc: 0.9451501904432132, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.2971513678627072
2021-07-10 21:35:09,738 15 Loss: 0.3677012026309967, Acc: 0.9368724030470914, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.42039681722757205
2021-07-10 21:35:10,407 16 Loss: 0.29270100593566895, Acc: 0.9610024238227147, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.38338062161212877
2021-07-10 21:35:11,130 17 Loss: 0.324894517660141, Acc: 0.9594334314404432, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.39436613477081395
2021-07-10 21:35:11,797 18 Loss: 0.4794583320617676, Acc: 0.9304449445983379, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3492810198592379
2021-07-10 21:35:12,483 19 Loss: 0.4872366786003113, Acc: 0.9498247056786704, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.43498667563088195
2021-07-10 21:35:13,138 20 Loss: 0.4535313844680786, Acc: 0.9478553497229917, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4695496698922655
2021-07-10 21:35:13,806 21 Loss: 0.45569124817848206, Acc: 0.9457128635734072, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.41547309851770275
2021-07-10 21:35:14,460 22 Loss: 0.3855876922607422, Acc: 0.9618572541551247, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.29235288736798737
2021-07-10 21:35:15,140 23 Loss: 0.2973487675189972, Acc: 0.9299039127423823, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.32124182078941743
2021-07-10 21:35:15,800 24 Loss: 0.22998696565628052, Acc: 0.9505064058171745, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6833149800121157
